913	357	5	880824372
84	276	4	883449944
338	513	5	879438225
889	1170	2	880182127
747	1205	3	888639594
541	468	4	883865007
307	143	3	879283203
679	83	5	884486694
81	3	4	876592546
916	159	3	880845303
296	429	5	884197330
244	281	3	880605010
312	207	5	891699121
721	51	4	877141038
276	449	2	874792520
165	326	5	879525672
23	1006	3	874785809
625	188	4	891262724
721	984	3	877137527
232	313	3	885939473
222	540	3	878184087
279	685	3	884982881
604	567	5	883668352
573	347	4	885843476
223	1052	1	891550404
500	483	4	883874039
59	181	5	888204877
233	135	4	877661881
116	248	3	876452492
453	77	3	888207161
551	875	4	892775970
889	385	3	880180376
71	168	5	885016641
416	631	3	886316295
843	654	2	879446359
280	53	5	891702544
195	1418	4	891762646
506	568	5	889979761
62	472	2	879373152
624	696	4	879793223
354	607	3	891218208
167	606	4	892738452
165	187	3	879526046
757	232	3	888466435
391	291	3	877400062
92	947	4	875654929
63	284	3	875747581
795	381	2	883774317
389	274	4	880088421
525	282	4	881085648
622	1149	3	882592314
256	451	4	882165135
721	215	4	877141373
748	300	4	879454172
42	655	3	881107642
916	1005	4	880845303
276	426	3	874793092
399	328	4	882340311
327	79	3	887745661
543	647	3	874864182
295	47	5	879518166
328	273	3	885046134
296	251	5	884196523
450	12	4	882373231
668	294	3	890349076
493	763	4	884130593
575	321	3	878146540
887	318	5	881379649
932	436	3	891251225
515	687	3	887659718
312	419	3	891699182
876	288	3	879428101
788	9	4	880869508
141	1023	4	884585274
695	748	1	888806270
606	1110	2	880927358
22	385	4	878887869
458	14	5	886394576
416	1262	5	893213019
166	894	4	886397905
290	825	3	880732508
655	475	3	887693376
18	792	5	880131106
758	272	4	884413293
705	932	5	883427339
547	345	5	891282555
354	694	5	891217299
393	769	4	889731593
829	258	3	886993238
745	181	2	880122965
398	357	4	875657926
255	53	3	883216672
269	529	5	891455815
721	197	4	877140221
784	754	3	891387249
936	988	3	886831912
59	199	4	888205410
870	494	3	879865875
166	294	3	886397596
344	275	4	884899397
645	650	5	892055285
301	1	4	882074345
83	862	4	883868805
506	380	4	874874585
897	411	5	879993797
214	154	3	891544000
279	367	3	875309861
411	229	3	891035362
549	288	4	881672605
798	194	4	875743366
235	494	4	889655112
711	655	4	879993605
859	475	4	885776056
450	928	3	882397813
87	1180	3	879877127
619	808	3	885954053
847	258	5	878774722
263	86	4	891299574
198	1244	2	884206659
389	136	4	880087671
666	520	3	880139562
312	609	3	891698634
128	422	4	879968598
487	689	1	883441407
614	546	1	879463965
383	660	4	891192748
59	210	4	888204309
829	639	4	881699005
499	524	4	885599073
882	470	4	879867816
737	174	2	884314740
425	1188	3	878738695
590	244	3	879439431
896	380	2	887159748
137	51	1	881433605
805	519	4	881698095
908	515	4	879722463
306	744	4	876504054
314	406	3	877887388
454	748	4	881958551
145	443	3	882182658
254	449	5	886475446
99	815	2	885679237
886	726	1	876033340
456	1019	4	881372849
345	739	4	884993016
834	272	4	890860566
244	114	4	880603219
592	13	5	882608401
934	529	5	891194866
527	14	2	879456663
437	77	4	880143040
326	227	3	879876941
537	175	4	886030966
677	222	4	889399171
892	182	5	886608507
297	90	4	875239942
330	143	5	876546470
65	50	5	879217689
764	284	4	876243015
1	158	3	878542699
399	238	1	882342061
569	291	4	879794348
622	521	5	882670009
850	8	5	883195055
757	743	2	888445172
618	895	3	891309929
406	480	4	882480802
894	903	4	888280029
906	300	3	879434378
10	482	4	877889262
308	581	4	887740500
592	350	4	885280124
393	222	4	887744239
517	823	2	892659923
326	187	1	879875243
58	144	4	884304936
322	157	5	887314244
573	836	3	885844605
389	824	3	881384649
835	134	3	891033927
601	421	1	876350060
104	9	2	888465201
551	334	4	892775970
493	959	2	884131263
851	261	3	877831111
617	671	4	883789425
918	131	3	891987824
933	209	2	874854678
663	328	4	889491861
537	1045	3	886032154
880	577	3	880175207
822	235	3	891039543
381	596	3	892697297
577	549	5	880475539
503	12	3	879454675
137	257	5	881433048
346	141	4	874950692
715	155	4	875964580
279	181	3	875298494
863	355	4	889289419
279	1032	3	880666757
547	311	2	891282699
92	558	3	875906765
468	293	5	875280395
7	188	5	891352778
862	515	4	879302877
87	403	3	879875996
495	80	3	888636992
239	659	3	889179808
437	65	4	880140787
279	638	4	875312441
620	895	3	889986984
615	736	5	879448149
194	25	2	879540807
299	28	4	877880474
276	124	5	880913800
201	1136	1	884140637
451	335	4	879012721
71	6	3	880864124
771	137	4	880659302
699	98	4	878883038
90	1194	4	891383718
407	183	4	875046799
293	483	5	888905481
804	406	3	879444133
478	780	3	889397808
291	143	3	875086921
59	472	3	888203482
130	50	5	874953665
868	7	5	877104157
864	1119	3	888890548
247	100	3	893081395
816	678	4	891710837
653	100	4	878854666
890	152	4	882403299
1	133	4	876892818
79	690	4	891271308
928	173	4	880936863
861	381	4	881274780
921	659	5	884673799
622	28	3	882592314
541	15	3	883864806
250	2	4	878090414
898	288	4	888294529
271	40	1	885849558
456	346	5	887165765
542	73	3	886533227
506	1073	4	874873247
405	1176	3	885549942
37	831	2	880915607
621	894	1	883800011
897	188	5	879991493
889	193	4	880180191
875	327	4	876464873
576	435	4	886986400
911	431	4	892842368
892	692	4	886608296
495	478	4	888632443
168	678	1	884287109
387	231	3	886483194
7	577	2	892133310
592	173	5	882956276
158	302	4	880132193
175	98	5	877107390
208	367	2	883108324
655	300	3	887476919
20	15	4	879667937
660	679	2	891201069
689	250	5	876676334
653	181	4	878854145
235	96	4	889654971
62	170	3	879373848
196	306	4	881251021
311	465	4	884365406
721	194	5	877138024
733	291	2	879536608
110	333	4	886987288
209	898	3	883460304
130	4	2	875801778
868	427	4	877103679
471	404	2	889827757
360	238	4	880355845
478	393	4	889397306
232	209	3	888549563
102	241	3	888802038
207	328	2	884386312
786	188	5	882843237
666	187	5	880139439
427	334	5	879701326
145	394	1	888398833
396	1215	2	884646709
200	449	5	884130540
254	162	3	886472643
657	455	1	884239498
733	1117	2	879536659
533	88	4	879191902
323	288	3	878738827
87	1072	3	879876610
290	418	3	880474293
439	125	3	882893688
451	331	5	879012431
558	286	4	879435828
77	252	1	884733379
301	631	1	882078882
296	475	4	884196555
438	1	4	879868096
863	286	5	889289191
405	1148	1	885546680
268	1249	2	875743793
625	546	2	891273897
391	195	2	877399618
941	273	3	875049038
878	236	2	880865470
484	24	1	881449826
736	515	5	878709365
23	156	3	877817091
555	147	4	879962172
823	770	4	878438754
508	23	4	883767361
122	180	5	879270327
869	1061	1	884492377
776	184	4	892920381
871	515	4	888193176
437	238	5	880140369
132	806	3	891278896
848	196	5	887044238
715	232	4	875964905
522	128	4	876961133
746	172	5	885075165
890	286	5	882402181
450	502	5	882469061
699	717	1	878882511
464	678	3	878354722
734	479	4	891025541
16	194	5	877720733
91	131	2	891439471
48	228	3	879434792
251	597	3	886272514
474	553	2	887927339
14	477	4	879119311
303	49	2	879483901
533	282	4	888844577
399	665	3	882345408
712	420	3	874957140
268	4	4	875309829
344	1082	2	889814622
429	510	4	882387773
308	371	3	887738469
246	746	4	884922070
708	926	3	877325523
418	301	2	891282738
459	597	3	879563270
280	546	4	891702252
561	153	3	885808844
252	9	5	891456797
886	201	3	876031695
326	655	5	879875432
637	124	3	882902835
932	483	5	891249962
650	218	3	891370065
880	770	4	880167880
429	1443	2	882386601
425	230	4	878738644
168	871	3	884287711
588	178	5	890015323
655	1017	3	887611566
645	48	4	892053748
399	1274	1	882350870
486	327	3	879874112
342	189	5	875319967
606	195	5	880926162
